Average Trip Duration,Amount of Rides,Subscribers,Non Subscribers,Subscriber %,Non Subscriber %
21.65,20,15,5,75.0,25.0
9.307692307692308,13,10,3,77.0,23.0
14.0,21,18,3,86.0,14.0
14.214285714285714,14,12,2,86.0,14.0
9.0,14,11,3,79.0,21.0
7.0,6,5,1,83.0,17.0
4.75,8,8,0,100.0,0.0
8.6,10,9,1,90.0,10.0
7.8,5,5,0,100.0,0.0
26.666666666666668,3,3,0,100.0,0.0
6.666666666666667,3,3,0,100.0,0.0
27.0,1,1,0,100.0,0.0
4.0,1,1,0,100.0,0.0
5.333333333333333,3,3,0,100.0,0.0
9.916666666666666,12,9,3,75.0,25.0
9.23076923076923,26,20,6,77.0,23.0
13.979166666666666,48,39,9,81.0,19.0
20.956521739130434,23,21,2,91.0,9.0
11.55,20,15,5,75.0,25.0
33.56,25,17,8,68.0,32.0
15.0,37,26,11,70.0,30.0
20.318181818181817,22,11,11,50.0,50.0
